source,target,source_paper_id,target_paper_id
44,860,MAG:1650363355,MAG:2950064107
122,151,MAG:2003612823,MAG:2065627966
303,286,MAG:2462831000,MAG:2408074187
325,855,MAG:2521305694,MAG:2949987032
328,138,MAG:2524377659,MAG:2038872199
355,213,MAG:2587944871,MAG:2165925342
376,534,MAG:2608199279,MAG:2794852379
411,0,MAG:2737126875,MAG:9657784
428,425,MAG:2751688886,MAG:2749617271
428,508,MAG:2751688886,MAG:2787579267
428,970,MAG:2751688886,MAG:2951837690
451,37,MAG:2763049606,MAG:1606458877
462,958,MAG:2766371994,MAG:2951635495
474,344,MAG:2772125660,MAG:2577189726
475,943,MAG:2772217839,MAG:2951313160
497,37,MAG:2785433750,MAG:1606458877
587,408,MAG:2808815309,MAG:2735642330
611,508,MAG:2886748926,MAG:2787579267
615,508,MAG:2887256099,MAG:2787579267
622,380,MAG:2889681790,MAG:2610850660
631,355,MAG:2892212780,MAG:2587944871
640,0,MAG:2895020057,MAG:9657784
644,855,MAG:2896790514,MAG:2949987032
646,499,MAG:2897025488,MAG:2785533664
675,540,MAG:2902749952,MAG:2795999188
684,247,MAG:2905487937,MAG:2273364576
761,408,MAG:2939522634,MAG:2735642330
813,990,MAG:2949267240,MAG:2952119352
855,14,MAG:2949987032,MAG:1528301850
902,179,MAG:2950662148,MAG:2121933323
902,958,MAG:2950662148,MAG:2951635495
927,963,MAG:2951135732,MAG:2951657789
966,330,MAG:2951697703,MAG:2525951180
987,4,MAG:2952073905,MAG:231147053
