node_id,mag_paper_id,title,class_idx,cluster_id
0,9657784,evasion attacks against machine learning at test time,4,34
1,39886162,how hard is computing parity with noisy communications,5,2
2,116214155,on the absence of the rip in real world applications of compressed sensing and the rip in levels,28,30
3,121432379,a promise theory perspective on data networks,8,2
4,231147053,analysis of asymptotically optimal sampling based motion planning algorithms for lipschitz continuous dynamical systems,27,18
5,1196386999,the edge group coloring problem with applications to multicast switching,34,30
6,1444859417,webvrgis based city bigdata 3d visualization and analysis,6,30
7,1483430697,information theoretic authentication and secrecy codes in the splitting model,4,2
8,1486601621,whealth transforming telehealth services,3,2
9,1495847259,nonparametric decentralized sequential detection via universal source coding,28,2
10,1500126713,online learning in decentralized multiuser resource sharing problems,24,30
11,1512190626,truthful secretaries with budgets,36,25
12,1524631297,improving the bound on the rip constant in generalized orthogonal matching pursuit,28,2
13,1525384803,a system for reflection in c,22,36
14,1528301850,a bi level view of inpainting based image compression,16,24
15,1537465387,distributed graph automata,33,35
16,1539916885,randomness efficient rumor spreading,34,2
17,1542788159,back to the past source identification in diffusion networks from partially observed cascades,26,2
18,1544145018,bayesian two sample tests,24,30
19,1546946208,electrical structure based pmu placement in electric power systems,19,30
20,1550373401,on state dependent broadcast channels with cooperation,28,2
21,1551937652,detecting simultaneous integer relations for several real vectors,14,30
22,1553895888,shannon meets carnot mutual information via thermodynamics,28,30
23,1555565700,on list decodability of random rank metric codes,28,30
24,1556595261,dealing with run time variability in service robotics towards a dsl for non functional properties,27,30
25,1561232457,a characterisation of context sensitive languages by consensus games,33,2
26,1561890487,data structures for approximate range counting,34,30
27,1566387761,holographic transformation for quantum factor graphs,28,2
28,1573599372,rooted trees with probabilities revisited,28,2
29,1578902217,time critical social mobilization,3,2
30,1581827225,homomorphic encryption theory and application,4,2
31,1585744708,learning transformations for clustering and classification,16,36
32,1586330215,methods for integrating knowledge with the three weight optimization algorithm for hybrid cognitive processing,10,2
33,1591405962,csma local area networking under dynamic altruism,8,35
34,1595098738,face frontalization for alignment and recognition,16,2
35,1596723206,from bounded affine types to automatic timing analysis,22,2
36,1601434380,an efficient way to perform the assembly of finite element matrices in matlab and octave,0,30
37,1606458877,how auto encoders could provide credit assignment in deep networks via target propagation,24,12
38,1607460189,constrained parametric proposals and pooling methods for semantic segmentation in rgb d images,16,2
39,1615334113,cooperative game theoretic solution concepts for top k problems,26,2
40,1618900328,regulation and the integrity of spreadsheets in the information supply chain,3,30
41,1623729836,reconfigurable wireless networks,8,2
42,1633846131,contact representations of sparse planar graphs,20,30
43,1634869392,modularity aspects of disjunctive stable models,2,2
44,1650363355,replica symmetric bound for restricted isometry constant,28,17
45,1657294604,pushdown abstractions of javascript,22,2
46,1661863441,a notion of robustness for cyber physical systems,19,30
47,1665243225,entropy rate for hidden markov chains with rare transitions,28,2
48,1665669548,memristors can implement fuzzy logic,18,2
49,1667633038,asymptotic capacity of wireless ad hoc networks with realistic links under a honey comb topology,28,28
50,1670829281,on the performance of selection cooperation with imperfect channel estimation,28,32
51,1681484497,informetric analyses of knowledge organization systems koss,38,36
52,1682705844,latent topic models for hypertext,31,28
53,1698782162,complete security framework for wireless sensor networks,4,2
54,1717093152,neural dissimilarity indices that predict oddball detection in behaviour,28,2
55,1720451657,network maps of technology fields a comparative analysis of relatedness measures,26,2
56,1738519518,continuous double auction mechanism and bidding strategies in cloud computing markets,5,32
57,1740018295,the abc problem for gabor systems,28,1
58,1754384483,inference less density estimation using copula bayesian networks,24,25
59,1769594948,optimal detection of intersections between convex polyhedra,20,1
60,1774345111,limits of rush hour logic complexity,9,30
61,1777784767,new separation between s f and bs f,9,30
62,1791983455,a survey on handover management in mobility architectures,8,1
63,1798241237,many task computing and blue waters,5,30
64,1812070052,identifying reliable annotations for large scale image segmentation,16,30
65,1814471488,improved analysis for subspace pursuit algorithm in terms of restricted isometry constant,28,2
66,1815334329,squares of 3 sun free split graphs,9,1
67,1816985167,tree dynamics for peer to peer streaming,34,2
68,1818292367,stochastic ordering of interferences in large scale wireless networks,28,32
69,1818296812,earthquake disaster based efficient resource utilization technique in iaas cloud,5,2
70,1823940520,on descriptional complexity of the planarity problem for gauss words,33,2
71,1824996543,multi access mimo systems with finite rate channel state feedback,28,30
72,1831933153,an information theoretic perspective of the poisson approximation via the chen stein method,28,25
73,1838670769,a set and collection lemma,39,28
74,1839164722,learning economic parameters from revealed preferences,36,2
75,1844261290,towards adapting imagenet to reality scalable domain adaptation with implicit low rank transformations,16,2
76,1849650586,using multiple criteria methods to evaluate community partitions,26,2
77,1852713323,incremental adaptation strategies for neural network language models,13,28
78,1856665498,optimal point to point codes in interference channels an incremental i mmse approach,28,30
79,1859168105,a combined approach for constraints over finite domains and arrays,2,30
80,1860769804,optimization design and analysis of systematic lt codes over awgn channel,28,2
81,1867927193,truth and envy in capacitated allocation games,36,2
82,1869518888,smt based bounded model checking of fixed point digital controllers,19,30
83,1871136127,google matrix of business process management,3,30
84,1874862603,a combinatorial algebraic approach for the identifiability of low rank matrix completion,24,30
85,1890858171,iterated ld problem in non associative key establishment,4,1
86,1899741157,towards ontological support for principle solutions in mechanical engineering,23,35
87,1903515055,formation of robust multi agent networks through self organizing random regular graphs,11,2
88,1909770226,fully dynamic bin packing revisited,34,36
89,1912377242,throughput capacity of two hop relay manets under finite buffers,29,2
90,1913310022,bounds on the capacity of ask molecular communication channels with isi,28,35
91,1913435380,ranking the importance level of intermediaries to a criminal using a reliance measure,26,25
92,1917184511,approximating the diameter of a graph,34,2
93,1921222141,weight assignment logic,33,2
94,1923785946,fast label embeddings for extremely large output spaces,24,2
95,1924943363,flaglets exact wavelets on the ball,28,2
96,1931766922,a sparse bayesian framework for conditioning uncertain geologic models to nonlinear flow measurements,0,2
97,1952469305,paxoslease diskless paxos for leases,5,30
98,1955298890,learning kernel based halfspaces with the zero one loss,24,1
99,1955776637,on the optimality of simple schedules for networks with multiple half duplex relays,28,35
100,1956364207,interaction and resistance the recognition of intentions in new human computer interaction,6,30
101,1962645729,optimizations for decision making and planning in description logic dynamic knowledge bases,10,30
102,1965341892,inference and evaluation of the multinomial mixture model for text clustering,31,28
103,1970462373,synchronizing weighted automata,33,2
104,1972193127,investigation of commuting hamiltonian in quantum markov network,10,36
105,1972197965,the oblivious transfer capacity of the wiretapped binary erasure channel,28,30
106,1974252294,combinatorial approximation algorithms for maxcut using random walks,34,30
107,1974370252,the ergodic capacity of phase fading interference networks,28,2
108,1976930960,informed rrt optimal sampling based path planning focused via direct sampling of an admissible ellipsoidal heuristic,27,30
109,1977183758,greendcn a general framework for achieving energy efficiency in data center networks,8,35
110,1978451479,games with recurring certainty,2,30
111,1978696990,new coherence and rip analysis for weak orthogonal matching pursuit,28,30
112,1981029888,rappor randomized aggregatable privacy preserving ordinal response,4,35
113,1983815018,increasing flash memory lifetime by dynamic voltage allocation for constant mutual information,28,2
114,1984398168,proof pad a new development environment for acl2,23,1
115,1985850551,channels as objects in concurrent object oriented programming,22,2
116,1994203036,approximate optimal cooperative decentralized control for consensus in a topological network of agents with uncertain nonlinear dynamics,19,2
117,1994596572,the role of peer influence in churn in wireless networks,26,30
118,2000628897,off the grid spectral compressed sensing with prior information,28,2
119,2001557365,a regularized graph layout framework for dynamic network visualization,26,2
120,2001699728,area coverage under low sensor density,8,28
121,2001942931,fast resource scheduling in hetnets with d2d support,8,2
122,2003612823,interference prediction in mobile ad hoc networks with a general mobility model,28,7
123,2005285092,how to transfer zero shot object recognition via hierarchical transfer of semantic attributes,16,30
124,2005612613,iterative concave rank approximation for recovering low rank matrices,28,30
125,2008604527,a general quantitative cryptanalysis of permutation only multimedia ciphers against plaintext attacks,4,30
126,2009318757,an efficient assignment of drainage direction over flat surfaces in raster digital elevation models,34,36
127,2010239981,whittlesearch interactive image search with relative attribute feedback,16,36
128,2015969595,optimized imaging using non rigid registration,16,1
129,2023346713,conflict driven asp solving with external sources,10,2
130,2023669216,validity of altmetrics data for measuring societal impact a study using data from altmetric and f1000prime,38,30
131,2026035956,matched filtering from limited frequency samples,28,30
132,2026334295,linear index coding via graph homomorphism,28,30
133,2029741572,leader contention based user matching for 802 11 multiuser mimo networks,8,2
134,2031384529,new classes of quadratic bent functions in polynomial forms,4,36
135,2033252913,about the generalized lm inverse and the weighted moore penrose inverse,14,30
136,2035417248,the deterministic time linearity of service provided by fading channels,28,2
137,2037610944,promoting truthful behavior in participatory sensing mechanisms,36,2
138,2038872199,relatives in the same university faculty nepotism or merit,38,5
139,2039623973,inertial parameter identification including friction and motor dynamics,27,2
140,2044357496,verifiable source code documentation in controlled natural language,23,2
141,2045492734,how to improve the outcome of performance evaluations in terms of percentiles for citation frequencies of my papers,38,30
142,2046629409,a polyhedral approximation framework for convex and robust distributed optimization,19,2
143,2046927882,cooperative estimation for synchronization of heterogeneous multi agent systems using relative information,19,30
144,2049223024,a cooperative q learning approach for real time power allocation in femtocell networks,11,30
145,2052978498,fusing text and image for event detection in twitter,31,30
146,2054156261,artificial intelligence markup language a brief tutorial,10,2
147,2056465590,anomaly detection in online social networks,26,2
148,2058503096,efficient synthesis of network updates,22,28
149,2061164145,coalgebraic trace semantics for continuous probabilistic transition systems,2,30
150,2062637899,using built in domain specific modeling support to guide model based test generation,23,32
151,2065627966,cooperative relaying under spatially and temporally correlated interference,28,7
152,2067340979,an information theoretic location verification system for wireless networks,28,32
153,2067949855,petri nets with time and cost,2,2
154,2069293554,novelty detection under multi label multi instance framework,24,2
155,2074934005,analysis and design of multi hop diffusion based molecular communication networks,28,30
156,2077286704,the henchman problem measuring secrecy by the minimum distortion in a list,28,2
157,2079489844,strategic port graph rewriting an interactive modelling and analysis framework,2,25
158,2081483301,oversampling increases the pre log of noncoherent rayleigh fading channels,28,30
159,2083965535,iec 61499 vs 61131 a comparison based on misperceptions,23,2
160,2088010865,the entropy of conditional markov trajectories,28,30
161,2088233081,distributive laws and decidable properties of sos specifications,22,2
162,2088442093,on covert acoustical mesh networks in air,4,2
163,2094380852,high energy first hef heuristic for energy efficient target coverage problem,8,2
164,2096400936,dynamic models of reputation and competition in job market matching,36,1
165,2096637116,uplink performance evaluation of massive mu mimo systems,28,2
166,2096639003,tactics for reasoning modulo ac in coq,32,30
167,2096761913,faster radix sort via virtual memory and write combining,34,30
168,2097759652,detecting intentional packet drops on the internet via tcp ip side channels extended version,8,1
169,2099527426,cognitive and cache enabled d2d communications in cellular networks,28,2
170,2100725109,using transmit only sensors to reduce deployment cost of wireless sensor networks,8,2
171,2104308413,high sir transmission capacity of wireless networks with general fading and node distribution,28,1
172,2109463955,towards a multi criteria development distribution model an analysis of existing task distribution approaches,23,2
173,2111132618,proportional fair mu mimo in 802 11 wlans,8,30
174,2114297064,dynamic autotuning of adaptive fast multipole methods on hybrid multicore cpu and gpu systems,5,2
175,2115394571,codes between mbr and msr points with exact repair property,28,2
