cluster_id,size,dominant_class,purity
34,2,4,1.0
2,420,28,0.14761904761904762
30,288,16,0.14930555555555555
18,2,27,1.0
25,34,16,0.14705882352941177
36,46,16,0.13043478260869565
24,3,16,1.0
35,37,16,0.16216216216216217
12,3,24,1.0
17,2,28,1.0
28,21,28,0.19047619047619047
32,24,28,0.2916666666666667
1,53,24,0.20754716981132076
7,2,28,1.0
5,2,38,1.0
22,2,24,1.0
0,18,16,0.2222222222222222
14,3,3,0.3333333333333333
15,2,5,0.5
10,2,16,0.5
11,2,5,0.5
6,2,8,1.0
23,2,28,1.0
8,2,30,1.0
20,3,30,0.6666666666666666
26,3,4,0.3333333333333333
33,4,8,0.25
21,2,24,1.0
9,2,16,1.0
3,2,24,1.0
4,2,16,1.0
29,1,16,1.0
19,1,30,1.0
27,1,16,1.0
31,1,30,1.0
13,2,28,1.0
16,2,24,0.5
