cluster_id,size,dominant_class,purity
0,97457,16,0.1647085381245062
12,319,28,0.109717868338558
20,24,20,0.16666666666666666
30,240,23,0.13333333333333333
4,324,4,0.09259259259259259
8,271,8,0.08487084870848709
18,4,19,0.75
33,162,28,0.13580246913580246
17,54,4,0.7222222222222222
34,102,28,0.11764705882352941
24,37,28,0.972972972972973
28,274,28,0.06204379562043796
11,58,33,0.8620689655172413
36,76,19,0.11842105263157894
38,6,34,0.5
21,37,33,0.5945945945945946
27,4,37,1.0
32,50,6,0.12
26,13,14,0.46153846153846156
6,103,2,0.11650485436893204
13,63,16,0.2222222222222222
29,33,39,0.42424242424242425
31,15,16,0.26666666666666666
25,42,20,0.11904761904761904
10,4,31,1.0
37,25,4,0.64
5,13,5,0.6153846153846154
23,44,5,0.25
22,16,19,0.625
2,36,9,0.3333333333333333
3,4,2,0.5
7,4,10,0.5
15,26,22,0.46153846153846156
9,4,8,0.75
19,18,6,0.9444444444444444
35,4,3,0.75
39,23,28,0.2608695652173913
14,3,10,0.3333333333333333
1,4,6,0.5
16,4,4,1.0
