paper_id,title
1001,Paper 1001
9304045,Generalized Calabi-Yau Manifolds and the Mirror of a Rigid Manifold
9308122,"Mirror Symmetry, Mirror Map and Applications to Calabi-Yau Hypersurfaces"
9309097,"Calabi-Yau Moduli Space, Mirror Manifolds and Spacetime Topology Change in String Theory"
9311042,Measuring Small Distances in N=2 Sigma Models
9401139,Target Space Duality in String Theory
9404151,String Theory on K3 Surfaces
9407087,"Monopole Condensation, And Confinement In N=2 Supersymmetric Yang-Mills Theory"
9408099,"Monopoles, Duality and Chiral Symmetry Breaking in N=2 Supersymmetric QCD"
9501030,Strong/Weak Coupling Duality from the Dual String
9503124,String Theory Dynamics In Various Dimensions
9504090,Massless Black Holes and Conifolds in String Theory
9504145,Black Hole Condensation and the Unification of String Vacua
9505025,U-Duality and Integral Structures
9505054,Maximally Supersymmetric String Theories in D<10
9505105,Exact Results for N=2 Compactifications of Heterotic Strings
9505162,Second-Quantized Mirror Symmetry
9506048,Moduli Space of CHL Strings
9506112,K3--Fibrations and Heterotic-Type II String Duality
9506144,11-Dimensional Supergravity Compactified on Calabi-Yau Threefolds
9507050,Dual String Pairs With N=1 And N=2 Supersymmetry In Four Dimensions
9507158,"Fivebranes, Membranes and Non-Perturbative String Theory"
9508094,Four Dimensional String/String/String Triality
9508155,Nonperturbative Results on the Point Particle Limit of N=2 Heterotic String Compactifications
9510142,An N=2 Dual Pair and a Phase Transition
9510225,D-Strings on D-Manifolds
9510234,On the Ubiquity of K3 Fibrations in String Duality
9511030,Small Instantons in String Theory
9511171,Enhanced Gauge Symmetries and Calabi-Yau Threefolds
9601108,Enhanced Gauge Symmetry in Type II String Theory
9602022,Evidence for F-Theory
9602114,Compactifications of F-Theory on Calabi--Yau Threefolds -- I
9603003,Comments on String Dynamics in Six Dimensions
9603150,Phase Transitions In M-Theory And F-Theory
9603161,Compactifications of F-Theory on Calabi--Yau Threefolds -- II
9603167,"D-branes, Quivers, and ALE Instantons"
9605184,"Anomalies, Dualities, and Topology of D=6 N=1 Superstring Vacua"
9605222,"Resolving Singularities in (0,2) Models"
9606017,IR Dynamics on Branes and Space-Time Geometry
9606040,Mirror Symmetry is T-Duality
9607163,Gauge Dynamics And Compactification To Three Dimensions
9607207,Mirror Symmetry in Three Dimensional Gauge Theories
9608086,Hypermultiplet Moduli Space and String Compactification to Three Dimensions
9609070,Extremal Transitions and Five-Dimensional Supersymmetric Field Theories
9609071,"Small Instantons, del Pezzo Surfaces and Type I' theory"
9609239,Geometric Engineering of Quantum Field Theories
9611137,K3 Surfaces and String Duality
9612108,Point-like Instantons and the Spin(32)/Z2 Heterotic String
9701162,Vector Bundles And F Theory
9702094,Duality in Supersymmetric Yang-Mills Theory
9702155,String Theory on Calabi-Yau Manifolds
9702198,Five-Dimensional Supersymmetric Gauge Theories and Degenerations of Calabi-Yau Spaces
9703082,"What is Special K\""ahler Geometry ?"
9703166,Solutions Of Four-Dimensional Field Theories Via M Theory
9704097,Toric Geometry and Enhanced Gauge Symmetry of F-Theory/Heterotic Vacua
9705030,Consistency Conditions for Branes at Orbifold Singularities
9705044,New Phases of String Theory and 6d RG Fixed Points via Branes at Orbifold Singularities
9705104,Point-like Instantons on K3 Orbifolds
9705220,Non-Abelian Conifold Transitions and N=4 Dualities in Three Dimensions
9706005,Mirror Symmetry via Deformation of Bundles on K3 Surfaces
9707014,M-Theory Versus F-Theory Pictures of the Heterotic String
9707042,Dynamics of Multiple Kaluza-Klein Monopoles in M- and String Theory
9707049,Matter from Toric Geometry
9710230,K-theory and Ramond-Ramond charge
9711036,Sheaves on Toric Varieties for Physics
9711104,A Note on the Geometry of CHL Heterotic Strings
9712028,Toroidal Compactification Without Vector Structure
9712042,Special Kahler Manifolds
9802194,Aspects of the Hypermultiplet Moduli Space in String Duality
9805056,F-Theory with Quantized Fluxes
9805206,Non-Simply-Connected Gauge Groups and Rational Points on Elliptic Curves
9806094,"The Heterotic String, the Tangent Bundle, and Derived Categories"
9810188,D-Branes And K-Theory
9811217,Heterotic String/F-theory Duality from Mirror Symmetry
9905036,T-Duality Can Fail
9907041,World-Sheet Corrections Via D-Instantons
9908007,Compactification of Type IIB String Theory on Calabi-Yau Threefolds
9908144,TASI Lectures on Non-BPS D-Brane Systems
9909108,Discrete Torsion and Gerbes I
9909120,Discrete Torsion and Gerbes II
9909229,Heterotic String Conformal Field Theory And A-D-E Singularities
9910238,Hypermultiplet Moduli Space and Three Dimensional Gauge Theories
9910248,Heterotic String Corrections from the Dual Type II String
9910268,Conformal Field Theories on K3 and Three-Dimensional Gauge Theories
9204040,On the Moduli Space of the $T^6/Z_3$ Orbifold and Its Modular Group
9203084,Periods and Duality Symmetries in Calabi-Yau Compactifications
9204035,Picard-Fuchs Equations and Special Geometry
9205041,"Considerations of One-Modulus Calabi-Yau Compactifications: Picard-Fuchs Equations, K\""ahler Potentials and Mirror Maps"
9207049,Higher Twisted Sector Couplings of $Z_N$ Orbifolds
9207111,Comment on the Generation Number in Orbifold Compactifications
